timestamp,n,p,k,ph,umidade,bomba
2026-04-22 08:00:00,1,0,1,6.09,64.9,0
2026-04-22 08:02:00,1,0,1,6.02,64.8,0
2026-04-22 08:04:00,1,0,1,6.02,64.6,0
2026-04-22 08:06:00,1,0,1,6.03,65.1,0
2026-04-22 08:08:00,1,0,1,6.09,65.3,0
2026-04-22 08:10:00,1,0,1,6.02,65.8,0
2026-04-22 08:12:00,1,0,1,6.01,66.5,0
2026-04-22 08:14:00,1,0,1,5.95,67.1,0
2026-04-22 08:16:00,1,0,1,5.92,65.0,0
2026-04-22 08:18:00,1,0,1,5.86,65.5,0
2026-04-22 08:20:00,1,0,1,5.85,65.4,0
2026-04-22 08:22:00,1,0,1,5.86,66.0,0
2026-04-22 08:24:00,1,0,1,5.83,65.5,0
2026-04-22 08:26:00,1,0,1,5.95,65.3,0
2026-04-22 08:28:00,1,0,1,6.02,65.9,0
2026-04-22 08:30:00,1,0,1,6.01,67.0,0
2026-04-22 08:32:00,1,0,1,5.94,67.8,0
2026-04-22 08:34:00,1,0,1,5.98,67.5,0
2026-04-22 08:36:00,1,0,1,5.95,68.0,0
2026-04-22 08:38:00,1,0,1,5.92,68.8,0
2026-04-22 08:40:00,1,0,1,5.9,68.2,0
2026-04-22 08:42:00,1,0,1,5.92,67.7,0
2026-04-22 08:44:00,1,0,1,5.93,68.0,0
2026-04-22 08:46:00,1,0,1,5.88,68.2,0
2026-04-22 08:48:00,1,0,1,5.88,69.2,0
2026-04-22 08:50:00,1,0,1,5.89,70.4,0
2026-04-22 08:52:00,1,0,1,5.96,70.3,0
2026-04-22 08:54:00,1,0,1,5.99,68.4,0
2026-04-22 08:56:00,1,0,1,5.99,67.9,0
2026-04-22 08:58:00,1,0,1,6.06,67.6,0
2026-04-22 09:00:00,1,0,1,6.0,67.6,0
2026-04-22 09:02:00,1,1,1,6.0,68.4,1
2026-04-22 09:04:00,1,1,1,5.96,68.7,1
2026-04-22 09:06:00,1,1,1,5.95,69.0,1
2026-04-22 09:08:00,1,1,1,5.87,69.1,1
2026-04-22 09:10:00,1,1,1,5.86,68.5,1
2026-04-22 09:12:00,1,1,1,5.92,68.7,1
2026-04-22 09:14:00,1,1,1,6.07,67.8,1
2026-04-22 09:16:00,1,1,1,6.07,67.3,1
2026-04-22 09:18:00,1,1,1,6.05,66.9,1
2026-04-22 09:20:00,1,1,1,6.02,66.5,1
2026-04-22 09:22:00,1,1,1,6.04,67.0,1
2026-04-22 09:24:00,1,1,1,6.12,68.3,1
2026-04-22 09:26:00,1,1,1,6.03,68.6,1
2026-04-22 09:28:00,1,1,1,6.06,67.8,1
2026-04-22 09:30:00,1,1,1,5.93,66.7,1
2026-04-22 09:32:00,1,1,1,6.01,65.9,1
2026-04-22 09:34:00,1,1,1,6.03,65.1,1
2026-04-22 09:36:00,1,1,1,6.0,65.9,1
2026-04-22 09:38:00,1,1,1,6.06,68.8,1
2026-04-22 09:40:00,1,1,1,6.02,70.2,0
2026-04-22 09:42:00,1,1,1,6.07,70.3,0
2026-04-22 09:44:00,1,1,1,6.07,71.0,0
2026-04-22 09:46:00,1,1,1,6.12,69.2,1
2026-04-22 09:48:00,1,1,1,6.1,69.1,1
2026-04-22 09:50:00,1,1,1,6.07,68.2,1
2026-04-22 09:52:00,1,1,1,6.04,67.4,1
2026-04-22 09:54:00,1,1,1,6.03,67.7,1
2026-04-22 09:56:00,1,1,1,6.0,67.4,1
2026-04-22 09:58:00,1,1,1,6.07,67.5,1
2026-04-22 10:00:00,1,1,1,6.03,66.6,1
2026-04-22 10:02:00,1,1,1,6.0,66.5,1
2026-04-22 10:04:00,1,1,1,6.04,66.3,1
2026-04-22 10:06:00,1,1,1,6.09,63.5,1
2026-04-22 10:08:00,1,1,1,6.13,63.7,1
2026-04-22 10:10:00,1,1,1,6.09,64.2,1
2026-04-22 10:12:00,1,1,1,6.03,63.9,1
2026-04-22 10:14:00,1,1,1,6.03,65.4,1
2026-04-22 10:16:00,1,1,1,6.02,65.8,1
2026-04-22 10:18:00,1,1,1,6.01,65.2,1
2026-04-22 10:20:00,1,1,1,6.08,65.5,1
2026-04-22 10:22:00,1,1,1,6.02,66.8,1
2026-04-22 10:24:00,1,1,1,6.03,66.8,1
2026-04-22 10:26:00,1,1,1,6.11,66.7,1
2026-04-22 10:28:00,1,1,1,6.11,67.0,1
2026-04-22 10:30:00,1,1,1,6.08,65.5,1
2026-04-22 10:32:00,1,1,1,6.11,66.0,1
2026-04-22 10:34:00,1,1,1,6.03,67.1,1
2026-04-22 10:36:00,1,1,1,6.08,68.2,1
2026-04-22 10:38:00,1,1,1,6.06,67.9,1
2026-04-22 10:40:00,1,1,1,6.05,69.3,0
2026-04-22 10:42:00,1,1,1,6.0,69.3,1
2026-04-22 10:44:00,1,1,1,5.94,70.2,0
2026-04-22 10:46:00,1,1,1,6.0,71.5,0
2026-04-22 10:48:00,1,1,1,5.95,71.8,0
2026-04-22 10:50:00,1,1,1,5.96,71.9,0
2026-04-22 10:52:00,1,1,1,5.86,73.2,0
2026-04-22 10:54:00,1,1,1,5.94,71.4,0
2026-04-22 10:56:00,1,1,1,6.03,73.0,0
2026-04-22 10:58:00,1,1,1,6.06,73.0,0
2026-04-22 11:00:00,1,1,1,6.12,72.5,0
2026-04-22 11:02:00,1,1,1,6.1,72.0,0
2026-04-22 11:04:00,1,1,1,6.07,72.9,0
2026-04-22 11:06:00,1,1,1,6.03,72.5,0
2026-04-22 11:08:00,1,1,1,6.07,72.2,0
2026-04-22 11:10:00,1,1,1,6.11,72.0,0
2026-04-22 11:12:00,1,1,1,6.14,71.9,0
2026-04-22 11:14:00,1,1,1,6.04,71.1,0
2026-04-22 11:16:00,1,1,1,6.04,71.1,0
2026-04-22 11:18:00,1,1,1,6.0,70.0,0
2026-04-22 11:20:00,1,1,1,6.06,70.3,0
2026-04-22 11:22:00,1,1,1,6.08,70.4,0
2026-04-22 11:24:00,1,1,1,6.16,69.7,1
2026-04-22 11:26:00,0,1,1,6.19,69.7,0
2026-04-22 11:28:00,0,1,1,6.13,68.7,0
2026-04-22 11:30:00,0,1,1,6.1,67.6,0
2026-04-22 11:32:00,0,1,1,6.16,68.3,0
2026-04-22 11:34:00,0,1,1,6.1,69.3,0
2026-04-22 11:36:00,0,1,1,6.05,69.0,0
2026-04-22 11:38:00,0,1,1,6.07,69.4,0
2026-04-22 11:40:00,0,1,1,6.05,68.7,0
2026-04-22 11:42:00,0,1,1,5.95,69.4,0
2026-04-22 11:44:00,0,1,1,5.96,68.9,0
2026-04-22 11:46:00,0,1,1,5.87,68.9,0
2026-04-22 11:48:00,0,1,1,5.87,68.4,0
2026-04-22 11:50:00,0,1,1,5.92,68.4,0
2026-04-22 11:52:00,0,1,1,5.96,68.9,0
2026-04-22 11:54:00,0,1,1,5.98,68.3,0
2026-04-22 11:56:00,0,1,1,5.94,68.7,0
2026-04-22 11:58:00,0,1,1,5.95,70.3,0
2026-04-22 12:00:00,0,1,1,5.93,70.9,0
2026-04-22 12:02:00,0,1,1,5.88,71.4,0
2026-04-22 12:04:00,0,1,1,5.85,72.2,0
2026-04-22 12:06:00,0,1,1,5.89,71.3,0
2026-04-22 12:08:00,0,1,1,5.8,72.2,0
2026-04-22 12:10:00,0,1,1,5.76,73.1,0
2026-04-22 12:12:00,0,1,1,5.81,71.7,0
2026-04-22 12:14:00,0,1,1,5.86,71.3,0
2026-04-22 12:16:00,0,1,1,5.98,70.9,0
2026-04-22 12:18:00,0,1,1,5.99,69.6,0
