timestamp,n,p,k,ph,umidade,bomba
2026-04-21 08:00:00,1,0,1,6.1,58.2,1
2026-04-21 08:02:00,1,0,1,6.1,57.9,1
2026-04-21 08:04:00,1,1,1,6.2,59.4,1
2026-04-21 08:06:00,1,1,1,6.2,61.8,1
2026-04-21 08:08:00,1,1,1,6.3,63.5,1
2026-04-21 08:10:00,1,1,1,6.3,65.1,0
2026-04-21 08:12:00,1,1,1,6.4,66.7,0
2026-04-21 08:14:00,0,1,1,6.0,64.2,0
2026-04-21 08:16:00,0,1,1,5.9,62.1,0
2026-04-21 08:18:00,1,1,1,6.1,60.0,1
2026-04-21 08:20:00,1,1,1,6.2,58.7,1
2026-04-21 08:22:00,1,1,1,6.3,56.8,1
2026-04-21 08:24:00,1,1,0,6.5,55.1,1
2026-04-21 08:26:00,1,1,0,6.6,54.3,0
2026-04-21 08:28:00,1,1,1,6.4,57.9,1
2026-04-21 08:30:00,1,1,1,6.3,60.5,1
2026-04-21 08:32:00,1,0,1,6.2,63.2,1
2026-04-21 08:34:00,0,0,1,5.8,66.0,0
2026-04-21 08:36:00,1,1,1,6.1,64.8,0
2026-04-21 08:38:00,1,1,1,6.2,62.4,0
2026-04-21 08:40:00,1,1,1,6.3,60.1,1
2026-04-21 08:42:00,1,1,1,6.3,58.5,1
2026-04-21 08:44:00,1,1,0,6.5,56.9,1
2026-04-21 08:46:00,1,1,0,6.6,55.4,0
2026-04-21 08:48:00,1,0,0,6.8,54.0,0
