N,P,K,temperature,humidity,ph,rainfall,label
93,19,59,25.71362,92.424861,6.613252,24.183549,muskmelon
99,17,42,25.755171,90.687041,6.677987,51.310634,watermelon
34,56,49,31.932154,92.97234,6.902555,156.413743,papaya
53,67,56,33.077583,88.035813,5.816981,137.74319,papaya
14,143,191,20.630108,91.844701,6.073189,116.278481,apple
22,25,28,32.08829,55.094527,6.040989,110.600868,mango
23,152,213,20.65533,84.529718,6.843846,158.379832,apple
15,37,21,23.934809,59.775824,6.836738,83.43093,mothbeans
21,43,23,26.359617,92.876162,6.341467,51.193023,mungbean
18,63,17,25.658694,73.772161,6.648743,46.989338,lentil
43,52,20,27.32447,63.61606,7.113746,69.093123,blackgram
22,20,26,26.484366,97.176412,5.900885,153.344547,coconut
22,17,41,20.805657,90.92796,6.719743,105.033803,pomegranate
98,61,42,27.177821,68.970323,6.384979,163.251053,jute
22,16,29,28.365426,93.559406,5.458971,191.247728,coconut
22,16,48,21.416739,96.08634,6.489072,121.144627,pomegranate
21,123,206,21.803346,82.330441,6.16394,90.661182,apple
80,57,13,26.781431,68.552152,6.017995,83.884618,maize
41,54,51,35.046858,93.047166,6.83869,136.259473,papaya
102,11,50,29.472333,92.481239,6.785551,25.792116,muskmelon
82,28,40,23.432107,59.38231,7.681324,174.803791,coffee
45,65,50,32.65749,94.873629,6.409018,155.763681,papaya
16,12,6,23.472526,93.660151,7.157596,121.92163,orange
57,62,43,35.831927,92.471329,6.715027,118.94657,papaya
44,80,89,22.179929,19.226382,7.330173,56.970513,chickpea
71,46,43,26.239736,75.380075,6.304136,152.084033,jute
20,52,29,27.536468,87.297834,5.978455,25.080438,mungbean
20,17,6,27.070642,91.15382,6.876714,103.065002,orange
20,67,22,21.935508,53.092417,5.850471,144.550502,pigeonpeas
90,35,34,24.472553,84.355144,6.606019,351.581945,rice
17,12,45,24.719216,82.41063,6.989229,90.789427,pomegranate
21,48,19,25.601567,55.09672,6.597294,29.100783,mothbeans
73,48,38,25.400861,83.501436,6.236827,173.390061,jute
24,72,17,21.647964,67.663239,7.23173,39.683485,lentil
80,46,32,26.641635,83.817553,6.429773,192.68718,jute
38,54,29,30.637956,63.048259,7.431223,56.326826,blackgram
85,47,53,24.024356,75.60071,6.867237,158.126554,jute
35,47,76,21.101919,22.875042,6.80818,88.450488,chickpea
37,62,67,18.733789,12.485839,7.604022,82.236596,chickpea
20,69,18,23.079727,15.596384,5.568601,103.451179,kidneybeans
48,51,58,31.575519,91.856508,6.817263,170.069031,papaya
24,27,39,30.879851,48.739538,5.822604,93.126176,mango
40,62,17,26.679918,64.676771,6.822518,74.483455,blackgram
61,47,15,19.841027,66.639153,6.856801,103.366332,maize
22,56,24,29.002633,85.074796,6.469432,63.710347,mungbean
67,30,21,28.832499,65.151433,6.635396,86.636587,maize
19,70,19,26.151527,45.581002,5.931803,118.656526,pigeonpeas
21,17,26,29.364022,93.507685,5.26774,156.725025,coconut
93,15,54,31.943747,91.020663,5.96702,30.051349,muskmelon
74,47,23,23.044253,54.517245,6.452079,97.211715,maize
30,64,24,29.02621,60.921394,7.270269,64.030701,blackgram
96,33,35,23.967987,64.887726,6.638674,189.290991,coffee
24,122,206,23.608572,82.856676,5.509352,72.404033,grapes
18,55,28,27.69641,88.725449,6.238523,56.547333,mungbean
104,31,15,25.220951,58.672643,7.312598,160.191822,coffee
15,73,16,23.538756,29.970061,5.593337,96.756643,kidneybeans
140,50,18,23.763134,77.995071,6.936017,79.444879,cotton
20,116,195,22.082471,90.31179,5.921878,121.828395,apple
116,84,55,26.143701,85.545529,5.797179,110.55105,banana
38,60,33,27.553344,63.426912,7.066335,75.202556,blackgram
94,18,48,27.477914,78.980904,5.902295,52.808711,watermelon
26,15,31,28.853741,96.462429,5.554231,178.409428,coconut
13,64,27,22.965865,61.67697,6.720815,33.851939,lentil
18,23,15,21.861739,90.487346,6.594558,97.408115,orange
51,75,57,33.522788,92.412792,6.490056,124.000086,papaya
17,66,25,27.388215,45.812714,5.993551,126.954157,pigeonpeas
18,16,11,20.769415,94.992944,7.654849,106.543733,orange
76,44,31,22.533275,77.857697,7.100908,264.070352,rice
100,14,43,30.610777,88.309871,6.142473,16.167795,muskmelon
17,81,24,26.526889,55.813721,5.357483,132.509717,pigeonpeas
109,8,48,27.573581,90.292171,6.654085,33.965486,muskmelon
22,17,28,25.735859,91.545096,5.345761,186.131001,coconut
79,43,40,24.524612,73.103285,6.772591,141.791205,jute
113,95,61,27.982758,80.52874,6.249127,119.641619,banana
41,60,27,28.42918,65.752244,7.122409,60.904583,blackgram
54,54,48,35.271986,97.091871,6.490496,182.19368,papaya
92,92,46,24.429628,72.202102,6.40434,117.33328,banana
121,60,29,22.461657,81.365918,6.328293,92.370029,cotton
102,22,61,25.541655,85.657279,6.944364,35.99198,watermelon
15,10,9,22.478693,95.903931,7.302922,122.10266,orange
87,28,41,27.90835,55.81962,6.882454,158.947208,coffee
49,66,76,18.861161,16.090461,7.619977,56.755341,chickpea
79,45,34,22.834843,85.321565,6.600367,206.673343,rice
18,42,21,31.507235,54.539323,7.298447,37.097781,mothbeans
17,10,9,21.067104,96.127137,7.16234,108.602963,orange
18,24,33,31.713995,42.258103,5.625639,108.163213,mango
94,24,39,22.847034,46.49309,6.338839,120.489182,coffee
21,30,19,28.486098,58.797672,7.177143,56.825713,mothbeans
34,68,19,27.542975,64.948233,7.059727,72.324721,blackgram
12,18,50,22.278518,89.029258,6.19092,124.970234,pomegranate
72,56,16,19.078847,52.746967,6.542404,59.391413,maize
19,43,12,28.89342,68.769339,6.163969,50.677194,mothbeans
112,52,12,22.855612,71.244716,6.618537,89.630676,cotton
34,48,47,34.844346,94.356936,6.888748,135.331641,papaya
15,72,27,31.542899,46.573615,5.996572,160.395207,pigeonpeas
20,38,25,29.344013,49.471629,6.284966,49.550954,mothbeans
17,61,19,18.66848,24.728208,6.494898,96.299201,kidneybeans
119,28,23,25.422407,45.539431,6.784845,179.524178,coffee
42,73,30,34.07019,61.879708,7.549554,72.598018,blackgram
21,66,19,24.238148,72.069439,6.549663,37.942003,lentil
16,15,30,26.535758,99.9,5.464551,205.485612,coconut
79,58,40,22.408074,88.392496,6.615564,204.882615,rice
19,14,9,22.137521,93.61696,6.31593,130.743429,orange
129,11,41,29.16719,99.9,6.165522,22.873373,muskmelon
119,20,43,25.03631,82.552494,7.117019,36.801228,watermelon
22,67,18,20.144932,24.188476,5.427675,121.714825,kidneybeans
94,20,53,23.971693,80.439192,5.915879,52.879418,watermelon
110,73,57,28.808672,87.80816,5.732887,83.04778,banana
22,64,23,26.618994,50.944342,5.340923,150.704189,pigeonpeas
12,28,17,30.3946,44.306112,5.696947,56.711794,mothbeans
107,64,55,26.932552,83.229831,6.210773,137.158301,banana
73,63,32,27.817771,86.175328,7.460356,135.294323,jute
129,47,21,27.512126,82.997889,7.523451,47.095281,cotton
21,15,38,23.822579,88.090444,6.497447,114.975275,pomegranate
22,65,5,26.250356,42.768737,5.14749,124.251467,pigeonpeas
44,60,82,19.91094,20.18063,8.403864,86.88624,chickpea
76,57,16,22.512529,79.366405,6.049213,121.248971,maize
22,18,24,25.065581,95.64475,5.727256,229.930397,coconut
22,21,35,21.134965,90.781709,6.148145,140.846931,pomegranate
74,44,26,21.427213,87.767497,7.057987,228.528919,rice
19,80,23,26.726009,45.883622,5.663637,157.566334,pigeonpeas
28,132,208,23.336621,88.666653,5.628666,60.787847,grapes
39,76,18,31.158127,68.106993,7.036664,64.74422,blackgram
20,14,31,28.420197,93.082242,5.866536,206.905124,coconut
39,66,88,20.087113,8.178834,7.56236,83.921043,chickpea
42,73,12,26.694259,61.524347,6.635383,77.041034,blackgram
18,18,30,24.464164,96.177484,5.359943,199.480071,coconut
79,43,13,24.781143,70.401609,6.26033,121.93274,maize
100,72,55,30.759495,81.768424,6.666904,74.488566,banana
22,51,21,27.521755,55.920367,6.850507,55.578056,mothbeans
99,87,39,25.915227,79.936012,6.659155,102.723749,banana
27,61,13,20.707637,24.88625,5.807653,126.79891,kidneybeans
22,18,47,18.504563,88.426946,6.355712,104.708811,pomegranate
42,67,71,19.548719,13.462881,7.775072,74.030741,chickpea
24,21,22,29.580944,97.934941,5.424819,215.96619,coconut
18,15,5,21.818387,87.97605,6.949672,88.538173,orange
22,71,18,25.322828,43.679914,6.013927,173.57961,pigeonpeas
94,77,52,28.312499,68.221374,6.308654,133.727361,banana
84,70,57,29.145575,81.852017,5.211569,97.831928,banana
22,140,206,25.438129,84.501639,6.166888,132.674721,apple
19,73,14,19.325801,24.782151,6.239641,100.590496,kidneybeans
102,17,52,28.512782,93.136908,6.265322,18.990662,muskmelon
22,49,29,30.550218,83.384406,6.710925,48.526293,mungbean
15,38,20,26.414425,56.781687,6.913885,31.314958,mothbeans
22,24,36,28.469408,97.888701,5.651574,163.293371,coconut
67,35,16,22.486035,67.146716,6.203506,92.041108,maize
13,138,188,20.675718,92.300896,5.86195,84.758488,apple
