data_hora,equipamento_id,tipo_operacao,cultura,umidade_solo,precipitacao_24h,precipitacao_prevista,temperatura,declividade_terreno,distancia_corpo_dagua,tipo_solo,historico_sinistros_area,horas_uso_equipamento,ultima_manutencao_dias,velocidade_vento,risco_label
2026-03-10 15:00,TRAT-001,campo,soja,57.1,22.3,1.3,27.1,2.1,555.1,latossolo,0,199.1,34,16.1,0
2026-03-11 09:30,TRAT-001,transporte,soja,59.7,43.3,5.0,23.1,3.3,118.1,argissolo,2,199.9,82,10.3,1
2026-03-12 09:00,PLAN-001,campo,cana,72.3,33.2,0.7,24.7,6.9,222.3,argissolo,0,853.2,34,24.8,0
2026-03-13 08:30,TRAT-004,campo,cana,87.2,27.7,10.9,24.0,8.5,88.3,gleissolo,5,1416.5,93,17.4,1
2026-03-13 06:30,COLH-003,campo,soja,89.4,29.6,7.5,32.6,13.4,81.0,gleissolo,1,1528.2,38,7.4,1
2026-03-14 08:15,TRAT-003,campo,soja,59.6,11.4,10.2,29.2,8.6,222.2,argissolo,2,1946.5,64,16.7,0
2026-03-14 15:30,COLH-001,campo,milho,58.9,18.0,14.6,31.1,10.9,151.8,latossolo,0,1332.1,85,11.2,0
2026-03-14 07:00,PLAN-002,campo,soja,69.4,20.2,3.6,24.9,12.0,349.6,latossolo,0,1659.6,15,21.6,0
2026-03-14 15:45,PLAN-001,campo,cana,79.2,44.3,10.9,24.4,7.3,68.1,gleissolo,5,854.4,88,13.0,1
2026-03-15 07:15,TRAT-002,campo,cana,55.2,33.3,0.9,22.8,2.1,167.7,argissolo,2,665.2,14,16.3,0
2026-03-15 07:45,COLH-003,campo,soja,67.3,39.6,0.8,29.8,13.5,120.9,argissolo,0,1529.5,56,21.5,1
2026-03-15 07:15,PLAN-001,campo,milho,65.0,1.9,4.0,32.3,3.3,404.4,latossolo,2,856.2,74,24.1,0
2026-03-15 09:45,COLH-005,campo,milho,75.0,37.6,13.9,31.4,6.8,44.8,gleissolo,5,1050.3,76,19.9,1
