feature,importance
distancia_corpo_dagua,0.254039
tipo_solo_latossolo,0.227927
umidade_solo,0.129957
precipitacao_24h,0.096445
historico_sinistros_area,0.087786
tipo_solo_argissolo,0.044219
precipitacao_prevista,0.02591
tipo_solo_gleissolo,0.025895
declividade_terreno,0.021716
ultima_manutencao_dias,0.01776
horas_uso_equipamento,0.015994
velocidade_vento,0.015934
temperatura,0.012651
tipo_operacao_campo,0.00923
tipo_operacao_transporte,0.008614
cultura_soja,0.002282
cultura_cana,0.002101
cultura_milho,0.001539
